name,sptnum_pri,sptnumerr_pri,sptnum_sec,sptnumerr_sec,sptnum_ter,sptnumerr_ter,ref_spt,mass_pri,masserr_pri,mass_sec,masserr_sec,ref_mass,sep_bin,seperr_bin,pa_bin,paerr_bin,offset_ew_bin,offseterr_ew_bin,offset_ns_bin,offseterr_ns_bin,sep_tri,seperr_tri,pa_tri,paerr_tri,epoch_astrometry,ref_astrometry
SCR J1845-6357,,,,,,,,,,,,,1064,3.8,177.2,0.06,,,,,,,,,2006-05-02,
2MASSI J1847034+552243,,,,,,,,,,,,,82,5,91.1,1.4,,,,,,,,,2003-07-10,2005ApJ...621.1023S
DENIS J185950.9-370632,10,,13,,,,2005ApJ...621.1023S,,,,,,65,1,279.2,0.1,,,,,,,,,2002-09-24,2004A&A...424..213B
2MASS J19360187-5502322,14,,30,,,,2013ApJ...767..110P,,,,,,67.1,6.4,330.9,1,,,,,,,,,,2013ApJ...767..110P
SDSS J202820.32+005226.5,13,,14,,,,2013ApJ...767..110P,,,,,,45.8,1.2,107.7,1.1,,,,,,,,,,2013ApJ...767..110P
SDSS J205235.31-160929.8,,,,,,,,,,,,,120.4,0.5,13.9,0.5,,,,,,,,,2005-10-11,2017ApJS..231...15D
2MASSW J2101154+175658,,,,,,,,,,,,,232,,107,,,,,,,,,,2001-05-07,
2MASSW J2113029-100941,6,,6,,,,2020ApJ...889..176F,,,,,,,,,,,,,,,,,,,
2MASS J21321145+1341584,,,,,,,,,,,,,66,4,121.94,1.3,,,,,,,,,2006-06-17,
2MASSW J2140293+162518,,,,,,,,,,,,,157,2.8,131.5,0.6,,,,,,,,,2001-05-31,2017ApJS..231...15D
2MASSW J2147436+143131,10,,12,,,,2005ApJ...621.1023S,,,,,,322.7,2.8,329.5,0.3,,,,,,,,,2000-10-09,2003AJ....126.1526B
2MASS J21522609+0937575,16,,16,,,,2013ApJ...778...36R,,,,,,250,,105.5,,,,,,,,,,,
2MASS J22025794-5605087,,,,,,,,,,,,,60,,60,,,,,,,,,,,
eps Indi B,,,,,,,,,,,,,732,2,136.81,0.14,,,,,,,,,2003-08-13,
2MASSW J2206228-204705,,,,,,,,,,,,,161.1,1.8,57.5,1.1,,,,,,,,,2000-08-13,2009ApJ...706..328D
2MASS J22344161+4041387,,,,,,,,,,,,,158.2,0.3,99.52,0.09,,,,,,,,,2007-09-06,2009ApJ...697..824A
2MASSI J2238074+435317,,,,,,,,,,,,,128.2,10.3,209.9,5.3,,,,,,,,,2008-09-22,2010ApJ...715..724B
SDSSp J224953.45+004404.2,,,,,,,,,,,,,322.8,0.3,279.49,0.03,,,,,,,,,2006-10-14,2010ApJ...715..561A
DENIS-P J225210.73-173013.4,,,,,,,,,,,,,140,,-18.5,,,,,,,,,,,
2MASS J22551861-5713056,15,1,18,1,,,2010ApJ...722..311L,,,,,,178.6,0.4,172.7,0.1,,,,,,,,,,2013ApJ...767..110P
2MASSI J2331016-040619,8.5,,17,,,,2005ApJ...621.1023S,,,,,,573,8,302.6,0.4,,,,,,,,,2001-09-22,2002ApJ...567L..53C
SDSS J233558.51-001304.1,11,,14,,,,2005ApJ...621.1023S,,,,,,56.8,2.8,8.1,1.2,,,,,,,,,2001-06-29,
2MASS J23515044-2537367,10,,11,,,,2013ApJ...767..110P,,,,,,63.3,0.3,348.8,0.3,,,,,,,,,,2013ApJ...767..110P
